nombre_ejercicio,otros_nombres,tipo_ejercicio,grupo_muscular_principal,grupo_muscular_secundario,localizacion,url_video,descripcion,imagen,equipamiento,nivel,patron_movimiento,series_recomendadas
Caminar en cinta con inclinación,"Incline treadmill walk, Caminata inclinada",Cardio,Cuerpo completo,"Glúteos, Gemelos",Gimnasio,https://player.mediadelivery.net/play/713982/4b78ebea-8d16-492f-9756-8f65d761ece1,"1. Ajusta la inclinación de la cinta, empezando con 8-10% y progresando.
2. Camina a un ritmo firme sin correr.
3. Mantén la postura erguida sin agarrarte a las barras.
4. Sostén el ritmo durante el tiempo objetivo.

⚠️ Errores comunes
* Agarrarse a las barras (reduce el gasto energético real).
* Inclinarse hacia delante en exceso.
* Dar pasos demasiado cortos.
* Inclinación tan alta que obliga a agarrarse.",caminar-en-cinta-con-inclinacion.png,Máquina,Principiante,Metabólico / cuerpo completo,Continuo: 20-30 min a ritmo constante
Elíptica,"Elliptical trainer, Máquina elíptica",Cardio,Cuerpo completo,"Cuádriceps, Hombros",Gimnasio,https://player.mediadelivery.net/play/713982/5bb9a010-9b90-4b06-890a-14357064e54c,"1. Sube a los pedales y sujeta las asas.
2. Inicia el movimiento fluido de piernas en forma de elipse.
3. Deja que los brazos acompañen empujando y tirando de las asas.
4. Mantén el ritmo y ajusta la resistencia según la sesión.

⚠️ Errores comunes
* Apoyarse demasiado en las asas fijas en vez de mover las piernas.
* Encorvar la espalda.
* Movimiento entrecortado en vez de fluido.",eliptica.png,Máquina,Principiante,Metabólico / cuerpo completo,Continuo: 20-30 min a ritmo constante
Escaladora (stepmill),"Stair climber, StepMill, Escaladora de escalones",Cardio,Cuádriceps,"Glúteos, Gemelos",Gimnasio,https://player.mediadelivery.net/play/713982/ce433cbf-5f21-4446-931d-e1ddfb3cf730,"1. Sube a la máquina y ajusta la velocidad de inicio baja.
2. Apoya las manos ligeramente en las barandillas, sin cargar peso.
3. Sube los escalones con pasos completos, no de puntillas.
4. Mantén el torso erguido durante toda la sesión.

⚠️ Errores comunes
* Apoyarse con fuerza en las barandillas (reduce el trabajo real).
* Dar pasos cortos de puntillas.
* Inclinar demasiado el torso hacia delante.
* Velocidad demasiado alta desde el inicio.",escaladora-stepmill.png,Máquina,Intermedio,Metabólico / cuerpo completo,Continuo: 15-20 min a ritmo constante
Bicicleta estática,"Stationary bike, Spinning",Cardio,Cuádriceps,"Femorales / isquiosurales, Gemelos",Gimnasio,https://player.mediadelivery.net/play/713982/40710d37-6d13-4959-a0fc-0de7977da833,"1. Ajusta el sillín para que la pierna quede casi extendida en el punto más bajo.
2. Sujeta el manillar con los codos ligeramente flexionados.
3. Pedalea de forma fluida manteniendo la cadencia objetivo.
4. Ajusta la resistencia según el tipo de sesión (continua o intervalos).

⚠️ Errores comunes
* Sillín demasiado bajo o demasiado alto.
* Encorvar la espalda en exceso.
* Pedalear solo con la punta del pie.
* Resistencia tan baja que no genera estímulo real.",bicicleta-estatica.png,Máquina,Principiante,Metabólico / cuerpo completo,Continuo: 15-20 min a ritmo constante
Remo en máquina de cardio,"Rowing machine, Máquina de remo (ergómetro)",Cardio,Cuerpo completo,"Espalda, Cuádriceps",Gimnasio,https://player.mediadelivery.net/play/713982/fa7d2341-2a58-4b49-8304-3027c0e71608,"1. Fija los pies en los estribos y sujeta el agarre con los brazos extendidos.
2. Empuja primero con las piernas.
3. Cuando las piernas casi se extiendan, inclina el torso atrás y tira del agarre hacia el abdomen.
4. Vuelve invirtiendo el orden: brazos, torso, piernas. Repite.

⚠️ Errores comunes
* Tirar con los brazos antes de empujar con las piernas.
* Redondear la espalda.
* Mover solo los brazos sin usar las piernas.
* Encoger los hombros.",remo-en-maquina-de-cardio.png,Máquina,Intermedio,Metabólico / cuerpo completo,Continuo: 15-20 min a ritmo constante
Comba (salto de cuerda),"Jump rope, Saltar la cuerda",Cardio,Cuerpo completo,"Gemelos, Antebrazos",Ambos,https://player.mediadelivery.net/play/713982/e51a79df-969f-4f9d-9979-305d1a6247fa,"1. Coloca la cuerda detrás de los talones y sujeta las asas a la altura de la cadera.
2. Gira la cuerda principalmente con las muñecas, no con los brazos.
3. Salta lo justo para que la cuerda pase bajo los pies.
4. Aterriza suave sobre las puntas de los pies y mantén el ritmo.

⚠️ Errores comunes
* Saltar demasiado alto (desgasta antes de tiempo).
* Mover los brazos enteros en vez de las muñecas.
* Aterrizar sobre los talones.
* Mirar hacia los pies en vez de al frente.",comba-salto-de-cuerda.png,Cuerda de saltar,Principiante,Metabólico / cuerpo completo,"8-10 rondas de 30 seg de trabajo, 30 seg de descanso"
Subir escaleras,"Stair climbing, Subida de escaleras",Cardio,Cuádriceps,"Glúteos, Gemelos",Exterior,https://player.mediadelivery.net/play/713982/f09345e6-9167-4055-b399-ad39acb04063,"1. Sitúate al inicio de las escaleras con postura erguida.
2. Sube los escalones a un ritmo sostenido.
3. Usa el pasamanos solo como apoyo de seguridad, no para tirar del cuerpo.
4. Baja caminando (no corriendo) para cuidar las rodillas, y repite.

⚠️ Errores comunes
* Tirar del pasamanos para ayudarse.
* Bajar corriendo (mayor impacto articular).
* Dar pasos a medias sin apoyar bien el pie.
* Encorvar el torso hacia delante.",subir-escaleras.png,Peso corporal,Principiante,Metabólico / cuerpo completo,"Continuo: 10-15 min, o 8-10 rondas de subida/bajada"
Sprints (carrera de velocidad),"Sprints, Carrera de velocidad",Cardio,Cuerpo completo,"Cuádriceps, Femorales / isquiosurales",Exterior,https://player.mediadelivery.net/play/713982/d67e6d66-357f-4255-883c-64f8e0b90352,"1. Colócate en el punto de salida.
2. Acelera progresivamente hasta la máxima velocidad posible.
3. Mantén la máxima velocidad durante todo el tramo.
4. Desacelera de forma progresiva al terminar y camina para recuperar antes del siguiente sprint.

⚠️ Errores comunes
* No calentar lo suficiente antes (riesgo de lesión muscular).
* Frenar en seco al terminar.
* Tramos demasiado largos que no permiten mantener la máxima velocidad.
* Descansos insuficientes entre repeticiones.",sprints-carrera-de-velocidad.png,Peso corporal,Avanzado,Metabólico / cuerpo completo,"6-8 sprints de 15-20 seg, 60-90 seg de descanso"
Boxeo sombra,"Shadow boxing, Boxeo sin contacto",Cardio,Cuerpo completo,"Core, Hombros",Ambos,https://player.mediadelivery.net/play/713982/ef79409b-e8f3-40b3-81b5-72008f6548c5,"1. Colócate en guardia con los pies escalonados y los puños en alto.
2. Lanza combinaciones de golpes al aire con rotación de cadera.
3. Vuelve a la guardia después de cada golpe.
4. Combina con desplazamientos laterales y hacia delante/atrás.

⚠️ Errores comunes
* Bajar la guardia entre golpes.
* Extender el codo del todo (riesgo de hiperextensión).
* Golpear solo con el brazo sin rotar la cadera.
* Quedarse estático sin mover los pies.",boxeo-sombra.png,Peso corporal,Principiante,Metabólico / cuerpo completo,"8-10 rondas de 30 seg de trabajo, 30 seg de descanso"
Correr en cinta,"Treadmill running, Correr en caminadora",Cardio,Cuerpo completo,"Cuádriceps, Gemelos",Gimnasio,https://player.mediadelivery.net/play/713982/d32a8ef7-074f-4887-9444-06f8e1423ce3,"1. Sube a la cinta parada o a velocidad muy baja.
2. Aumenta la velocidad de forma progresiva hasta el ritmo objetivo.
3. Mantén una postura erguida sin agarrarte a las barras.
4. Reduce la velocidad de forma gradual al terminar, sin parar en seco.

⚠️ Errores comunes
* Agarrarse a las barras laterales o frontales.
* Mirar hacia abajo en vez de al frente.
* Dar zancadas demasiado largas.
* Parar de golpe sin bajar la velocidad de forma progresiva.",correr-en-cinta.png,Máquina,Principiante,Metabólico / cuerpo completo,Continuo: 15-20 min a ritmo constante
Curl femoral con banda elástica,"Banded hamstring curl, Curl femoral con banda tumbado",Aislamiento,Femorales / isquiosurales,Gemelos,Casa,https://player.mediadelivery.net/play/713982/06924311-2a5d-45e9-8e6e-a266f4945f1b,"1. Ancla la banda baja y engancha el otro extremo al tobillo, túmbate boca abajo.
2. Parte con la pierna extendida.
3. Flexiona la rodilla llevando el talón hacia el glúteo.
4. Extiende controlado de vuelta. Repite y cambia de lado.

⚠️ Errores comunes
* Elevar la cadera del suelo.
* Usar impulso.
* Recorrido corto.
* Anclaje de la banda inestable o mal sujeto.",curl-femoral-con-banda-elastica.png,Banda elástica,Principiante,Flexión de rodilla,"3 series de 10 repeticiones, 60 seg de descanso"
Sentadilla con banda (resistencia),"Banded squat, Sentadilla con resistencia de banda",Compuesto,Cuádriceps,Glúteos,Casa,https://player.mediadelivery.net/play/713982/bba2b729-07ef-43b8-9e32-6ea010e80927,"1. Pisa el centro de la banda y sujeta los extremos a la altura de los hombros.
2. Pies a la anchura de los hombros.
3. Baja en sentadilla manteniendo la tensión de la banda.
4. Empuja con los pies para subir. Repite.

⚠️ Errores comunes
* Rodillas colapsando hacia dentro.
* Perder la tensión de la banda en algún punto del recorrido.
* Despegar los talones del suelo.
* Rango insuficiente.",sentadilla-con-banda-resistencia.png,Banda elástica,Principiante,Dominante de rodilla,"3 series de 10 repeticiones, 60 seg de descanso"
Peso muerto con banda elástica,"Banded deadlift, Peso muerto rumano con banda",Compuesto,Femorales / isquiosurales,"Glúteos, Lumbares",Casa,https://player.mediadelivery.net/play/713982/eb8a73d0-7d5c-488e-9918-76e57e417924,"1. Pisa el centro de la banda y sujeta los extremos frente a los muslos.
2. Lleva la cadera hacia atrás bajando la banda pegada a las piernas.
3. Baja hasta sentir estiramiento en los femorales, sin redondear la espalda.
4. Sube empujando la cadera al frente. Repite.

⚠️ Errores comunes
* Redondear la espalda baja.
* Convertirlo en sentadilla (flexionar mucho las rodillas).
* Alejar la banda de las piernas.
* No llevar la cadera atrás al iniciar.",peso-muerto-con-banda-elastica.png,Banda elástica,Principiante,Bisagra de cadera,"3 series de 10 repeticiones, 60 seg de descanso"
Flexión pica,"Pike push-up, Flexión en V",Compuesto,Hombros,"Tríceps, Core",Ambos,https://player.mediadelivery.net/play/713982/7ffe19fb-6984-4e9d-a5b1-8341304e99c9,"1. Colócate en V invertida con las manos en el suelo y la cadera elevada.
2. Mantén las piernas casi extendidas.
3. Baja la cabeza hacia el suelo entre las manos flexionando los codos.
4. Empuja de vuelta arriba hasta extender los brazos. Repite.

⚠️ Errores comunes
* Perder la posición de V (la cadera baja y se vuelve una flexión normal).
* Llevar la cabeza hacia delante en vez de recto entre las manos.
* Abrir demasiado los codos.
* Rango insuficiente.",flexion-pica.png,Peso corporal,Intermedio,Empuje vertical,"3 series de 10 repeticiones, 60 seg de descanso"
Peso muerto a una pierna,"Single-leg RDL, Peso muerto rumano a una pierna",Compuesto,Glúteos,"Femorales / isquiosurales, Core",Ambos,https://player.mediadelivery.net/play/713982/979bc7ab-11c9-48b1-ba9c-2b109a818267,"1. Ponte de pie sobre una pierna sujetando una carga.
2. Inclina el torso hacia delante mientras la pierna libre se eleva hacia atrás.
3. Mantén la cadera cuadrada, sin rotar.
4. Vuelve a la posición inicial de forma controlada. Repite y cambia de lado.

⚠️ Errores comunes
* Rotar la cadera al bajar.
* Perder el equilibrio.
* Redondear la espalda.
* Doblar demasiado la rodilla de apoyo.",peso-muerto-a-una-pierna.png,"Mancuernas, Kettlebell",Intermedio,Bisagra de cadera,"3 series de 10 repeticiones, 60 seg de descanso"
Patada de glúteo en polea,"Cable kickback, Patada de glúteo en cable",Aislamiento,Glúteos,Femorales / isquiosurales,Gimnasio,https://player.mediadelivery.net/play/713982/1999a246-64d0-4ee8-a3fc-1b31460da400,"1. Engancha el tobillo al agarre de la polea baja.
2. Apoya las manos en el bastidor con el torso ligeramente inclinado.
3. Extiende la pierna hacia atrás y arriba apretando el glúteo.
4. Vuelve controlado sin dejar caer el peso. Repite y cambia de lado.

⚠️ Errores comunes
* Arquear la zona lumbar para ganar rango.
* Usar impulso balanceando la pierna.
* Torso demasiado erguido (pierde tensión en glúteo).
* Rodilla completamente rígida durante el movimiento.",patada-de-gluteo-en-polea.png,"Polea, Cable",Principiante,Extensión de cadera,"3 series de 10 repeticiones, 60 seg de descanso"
